song,length
Purple Haze,2:46
Manic Depression,3:46
Hey Joe,3:23
May This Be Love,3:14
I Don't Live Today,3:55
The Wind Cries Mary,3:21
Fire,2:34
Third Stone from the Sun,6:40
Foxy Lady,3:15
Are You Experienced?,3:55
