song,length
EXP,1:55
Up from the Skies,2:55
Spanish Castle Magic,3:00
Wait Until Tomorrow,3:00
Ain't No Telling,1:46
Little Wing,2:24
If 6 was 9,5:32
You Got Me Floatin,2:45
Castles Made of Sand,2:46
She's So Fine,2:37
One Rainy Wish,3:40
Little Miss Lover,2:20
Bold as Love,4:11
