"song","peak"
"Don't Stop 'Til You Get Enough",1
"Rock with You",1
"Working Day and Night",NA
"Get on the Floor",NA
"Off the Wall",10
"Girlfriend",NA
"She's Out of My Life",10
"I Can't Help It",NA
"It's the Falling in Love",NA
"Burn This Disco Out",NA
