"song","peak"
"Ain'T No Sunshine",NA
"I Wanna be Where You Are",NA
"Girl Don't Take Your Love from Me",NA
"In Our Small Way",NA
"Got to Be There",4
"Rockin' Robin",2
"Wings of My Love",NA
"Maria (You Were the Only One)",NA
"Love is Here and Now You're Gone",NA
"You've Got a Friend",NA
