"song","peak"
"Bad",1
"The Way You Make Me Feel",1
"Speed Demon",NA
"Liberian Girl",NA
"Just Good Friends",NA
"Another Part of Me",11
"Man in the Mirror",1
"I Just Can't Stop Loving You",1
"Dirty Diana",1
"Smooth Criminal",7
