"song","peak"
"Jam",26
"Why You Wanna Trip on Me",NA
"In the Closet",6
"She Drives Me Wild",NA
"Remember the Time",3
"Can't Let Her Get Away",NA
"Heal the World",27
"Black or White",1
"Who Is It",14
"Give In to Me",NA
"Will You Be There",7
"Keep the Faith",NA
"Gone Too Soon",NA
"Dangerous",NA
