"song","peak"
"Wanna Be Startin' Somethin",5
"Baby be Mine",NA
"The Girl is Mine",2
"Thriller",4
"Beat It",1
"Billie Jean",1
"Human Nature",7
"P.Y.T. (Pretty Young Thing)",10
"The Lady in My Life",NA
