"song","peak"
"Unbreakable",NA
"Heartbreaker",NA
"Invincible",NA
"Break of Dawn",NA
"Heaven Can Wait",NA
"You Rock My World",10
"Butterflies",NA
"Speechless",NA
"2000 Watts",NA
"You Are My Life",NA
"Privacy",NA
"Don't Walk Away",NA
"Cry",NA
"The Lost Children",NA
"Whatever Happens",NA
"Threatened",NA
