song,length
Dream On,4:28
Mama Kin,4:27
Same Old Song and Dance,3:04
Seasons of Winter,4:57
Sweet Emotion,3:15
Walk this Way,3:33
Big Ten Inch Record,2:15
Last Child,3:28
Back in the Saddle,4:41
Draw the Line,3:24
Kings and Queens,3:48
Come Together,3:47
Remember (Walking in the Sand),4:05
Lightning Strikes,4:28
Chip Away the Stone,4:01
Sweet Emotion (remix),4:36
One Way Street (live),6:40
